is_type,name,coord,district,address
银行,中国建设银行24小时自助银行,"117.893431,31.624716",巢湖市,凤凰山路与半汤路交叉口东南100米
银行,中国工商银行(维尼纶厂分理处),"117.877881,31.64489",巢湖市,皖维路巢维路路口附近
银行,中国工商银行24小时自助银行(金巢大道),"117.90479,31.642293",巢湖市,安徽省合肥市金巢大道8号(玉泉路和金巢大道交叉口)
银行,徽商银行(巢湖夏阁支行),"117.839401,31.712283",巢湖市,蟠龙新街136号
银行,中国邮政储蓄银行(夏阁邮政支局),"117.838411,31.711279",巢湖市,安徽省合肥市208省道(夏阁镇人民政府东南方100米)
银行,中国农业银行(巢湖开发区支行),"117.92436,31.648604",巢湖市,半汤镇冷泉路28号
银行,中国农业银行ATM(巢湖开发区支行),"117.92435,31.648514",巢湖市,半汤镇冷泉路28号
银行,巢湖农村商业银行atm,"117.838112,31.713096",巢湖市,安徽省合肥市夏阁镇蟠龙新街(近夏阁国家税务分局)
银行,中国邮政储蓄银行ATM,"117.838352,31.711317",巢湖市,208省道(夏阁镇人民政府东南方100米)附近
银行,巢湖市农村商业银行(半汤支行),"117.924797,31.648359",巢湖市,汤山路23号
银行,中国农业银行ATM(夏阁分理处),"117.838242,31.711366",巢湖市,巢柘路185号
银行,中国农业银行(夏阁分理处),"117.838181,31.711429",巢湖市,巢柘路185号
银行,巢湖市农村商业银行(夏阁支行),"117.837884,31.712137",巢湖市,夏朱路与208省道交叉口东50米
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,中国信合(司集信用社),"117.914949,31.888165",巢湖市,合肥市巢湖市
银行,中国邮政储蓄银行(司集邮政支局),"117.914379,31.889431",巢湖市,安徽省合肥市巢湖市
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,中国工商银行ATM,"117.891819,31.593714",巢湖市,裕溪路144号附近
银行,中国建设银行24小时自助银行,"117.890902,31.594295",巢湖市,向阳南路与裕溪路交叉口西北100米
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,中国工商银行ATM,"117.891819,31.593714",巢湖市,裕溪路144号附近
银行,中国建设银行24小时自助银行,"117.890902,31.594295",巢湖市,向阳南路与裕溪路交叉口西北100米
银行,中国建设银行,"117.890267,31.59502",巢湖市,合肥市
银行,中国建设银行,"117.890267,31.59502",巢湖市,合肥市
银行,安徽巢湖扬子村镇银行-24小时自助银行(东塘南路支行),"117.887001,31.60092",巢湖市,向阳南路10-1号附近
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国银行ATM(姥山路),"117.91631,31.617102",巢湖市,安徽省合肥市半汤街道鼓山姥山路合肥职业技术学院
银行,中国邮政储蓄银行ATM,"117.895298,31.61514",巢湖市,长江东路42号附近
银行,中国工商银行24小时自助银行(金巢大道),"117.90479,31.642293",巢湖市,安徽省合肥市金巢大道8号(玉泉路和金巢大道交叉口)
银行,中国邮政储蓄银行(半汤邮政储蓄银行),"117.907717,31.633835",巢湖市,渡江路名仕嘉苑1-3号上铺
银行,中国工商银行ATM,"117.895977,31.605864",巢湖市,健康东路8-17号
银行,中国建设银行24小时自助银行(财富广场储蓄所),"117.890803,31.604037",巢湖市,安徽省合肥市东苑新村(安徽省巢湖市第一中学北)
银行,中国农业银行(巢湖开发区支行),"117.92436,31.648604",巢湖市,半汤镇冷泉路28号
银行,中国农业银行ATM(巢湖开发区支行),"117.92435,31.648514",巢湖市,半汤镇冷泉路28号
银行,巢湖市农村商业银行(半汤支行),"117.924797,31.648359",巢湖市,汤山路23号
银行,中国银行24小时自助银行(汇豪支行),"117.883081,31.599207",巢湖市,东塘路与安成路交叉口东南100米
银行,中国工商银行自助银行(巢湖汇豪支行),"117.882478,31.599747",巢湖市,合肥市安成路与朝阳路交叉口
银行,中国农业银行ATM(汇泉路),"117.937286,31.656501",含山县,安徽省马鞍山市巢湖学院(龙泉路南)
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,中国建设银行24小时自助银行,"117.893431,31.624716",巢湖市,凤凰山路与半汤路交叉口东南100米
银行,中国建设银行24小时自助银行(三中路),"117.892419,31.612828",巢湖市,安徽省合肥市人民路343号
银行,中国邮政ATM,"117.908048,31.633584",巢湖市,合肥市
银行,工商银行ATM,"117.909703,31.632465",巢湖市,安徽省合肥市名仕嘉苑(渡江路北)
银行,中国银行24小时自助银行(巢湖居巢支行),"117.892633,31.605977",巢湖市,安徽省合肥市东苑新村19
银行,中国农业发展银行(巢湖市分行),"117.890861,31.605936",巢湖市,安徽省合肥市健康东路
银行,安徽巢湖扬子村镇银行-24小时自助银行(东塘南路支行),"117.887001,31.60092",巢湖市,向阳南路10-1号附近
银行,农村商业银行(姚庙信用社),"117.926853,31.791865",含山县,安徽省马鞍山市含山县
银行,中国工商银行24小时自助银行(金巢大道),"117.90479,31.642293",巢湖市,安徽省合肥市金巢大道8号(玉泉路和金巢大道交叉口)
银行,中国建设银行,"117.936648,31.655489",含山县,马鞍山市含山县
