,IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM,lat,lng
10225,cater,何记黄焖鸡米饭,"117.282915,31.919396",庐阳区,安徽省合肥市庐阳区荣城花园南苑28幢,美食;小吃快餐店,5.0,19.0,117.282915,31.919396
10226,cater,艾比客(荣城北苑店),"117.282251,31.918895",庐阳区,阜阳北路荣城花园北苑商业街22栋107号,美食;小吃快餐店,4.3,26.0,117.282251,31.918895
10227,cater,宝运酒店,"117.280769,31.942602",庐阳区,阜阳北路与天水路交口向北100米,酒店;快捷酒店,5.0,6.0,117.280769,31.942602
10228,cater,徽香酒楼,"117.279208,31.943758",庐阳区,合肥市庐阳区云顶雅苑103,美食;中餐厅,5.0,3.0,117.279208,31.943758
10229,cater,盛宴楼(阜阳北路店),"117.286865,31.928444",庐阳区,耀远路与阜阳北路高架交叉口西北100米,美食;中餐厅,3.5,1.0,117.286865,31.928444
10230,cater,一陌川渝火锅,"117.272995,31.931385",庐阳区,庐阳工业区(林店街道)庐阳工业区庐阳工业区(林店街道)皇家花园三期旁边宜家生活超市二楼,美食;中餐厅,3.5,9.0,117.272995,31.931385
10231,cater,皇家食府,"117.274152,31.930124",庐阳区,安徽省合肥市庐阳区连水路恒盛皇家花园3期底商,美食;中餐厅,5.0,,117.274152,31.930124
10232,cater,重庆火锅村,"117.275609,31.929363",庐阳区,安徽省合肥市庐阳区荣城花园北苑26号楼1单元2层,美食;中餐厅,4.5,0.0,117.275609,31.929363
10233,cater,盛宴楼(阜阳北路店),"117.286865,31.928444",庐阳区,耀远路与阜阳北路高架交叉口西北100米,美食;中餐厅,3.5,1.0,117.286865,31.928444
10234,cater,艾比客(荣城北苑店),"117.27586,31.929633",庐阳区,庐阳区阜阳北路荣城花园北苑商业街22栋107号,美食;小吃快餐店,4.3,24.0,117.27586,31.929633
10235,cater,火锅记忆(云顶雅苑店),"117.279133,31.943843",庐阳区,工业区阜阳北路901号,美食;中餐厅,3.9,42.0,117.279133,31.943843
10236,cater,艾比客(云顶雅苑店),"117.278897,31.943911",庐阳区,阜阳路与荷塘路交叉口依家生活超市1楼,美食;小吃快餐店,3.9,41.0,117.278897,31.943911
10237,cater,火锅记忆(云顶雅苑店),"117.279133,31.943843",庐阳区,工业区阜阳北路901号,美食;中餐厅,3.9,42.0,117.279133,31.943843
10238,cater,芸江阁川菜,"117.279683,31.942837",庐阳区,阜阳北路与荷塘路交口格林豪泰南20米云顶雅苑,美食;中餐厅,3.0,,117.279683,31.942837
10239,cater,艾比客(荣城北苑店),"117.27586,31.929633",庐阳区,庐阳区阜阳北路荣城花园北苑商业街22栋107号,美食;小吃快餐店,4.3,24.0,117.27586,31.929633
10240,cater,座上客,"117.276503,31.929771",庐阳区,阜阳北路环湖家具西边荣城北苑商业街23幢104门面,美食;小吃快餐店,5.0,8.0,117.276503,31.929771
10241,cater,大宝龙虾(荣城北苑店),"117.276231,31.929338",庐阳区,荣城花园北苑商业街中段(美食一条街)艾比客对面,美食;中餐厅,3.5,1.0,117.276231,31.929338
10242,cater,一陌川渝火锅,"117.272995,31.931385",庐阳区,庐阳工业区(林店街道)庐阳工业区庐阳工业区(林店街道)皇家花园三期旁边宜家生活超市二楼,美食;中餐厅,3.5,9.0,117.272995,31.931385
10243,cater,座上客,"117.276503,31.929771",庐阳区,阜阳北路环湖家具西边荣城北苑商业街23幢104门面,美食;小吃快餐店,5.0,8.0,117.276503,31.929771
10244,cater,正大鸡排(宜家购物中心店),"117.273499,31.93015",庐阳区,连水路与丽水路交口华联购物广场宜家超市一楼美食城,美食;小吃快餐店,4.3,16.0,117.273499,31.93015
10245,cater,徽香酒楼,"117.279208,31.943758",庐阳区,合肥市庐阳区云顶雅苑103,美食;中餐厅,5.0,3.0,117.279208,31.943758
10246,cater,宝运酒店,"117.280769,31.942602",庐阳区,阜阳北路与天水路交口向北100米,酒店;快捷酒店,5.0,6.0,117.280769,31.942602
10247,cater,艾比客(云顶雅苑店),"117.278897,31.943911",庐阳区,阜阳路与荷塘路交叉口依家生活超市1楼,美食;小吃快餐店,3.9,41.0,117.278897,31.943911
10248,cater,伊洛苑大酒店,"117.276539,31.94424",庐阳区,合肥市庐阳区荷塘路50号,美食;中餐厅,4.0,2.0,117.276539,31.94424
10249,cater,火锅记忆(云顶雅苑店),"117.279133,31.943843",庐阳区,工业区阜阳北路901号,美食;中餐厅,3.9,42.0,117.279133,31.943843
10250,cater,芸江阁川菜,"117.279683,31.942837",庐阳区,阜阳北路与荷塘路交口格林豪泰南20米云顶雅苑,美食;中餐厅,3.0,,117.279683,31.942837
10251,cater,芸江阁川菜,"117.279683,31.942837",庐阳区,阜阳北路与荷塘路交口格林豪泰南20米云顶雅苑,美食;中餐厅,3.0,,117.279683,31.942837
10252,cater,和顺酒家,"117.278166,31.944476",庐阳区,安徽省合肥市庐阳区荷塘路庐阳工业园云顶雅苑西北,美食;中餐厅,4.8,1.0,117.278166,31.944476
10253,cater,小吴土菜馆,"117.28459,31.952346",庐阳区,庐阳工业区(林店街道)金池路与洪河路交叉口117底站,美食;中餐厅,5.0,3.0,117.28459,31.952346
10254,cater,和顺酒家,"117.278166,31.944476",庐阳区,安徽省合肥市庐阳区荷塘路庐阳工业园云顶雅苑西北,美食;中餐厅,4.8,1.0,117.278166,31.944476
10255,cater,徽香酒楼,"117.279208,31.943758",庐阳区,合肥市庐阳区云顶雅苑103,美食;中餐厅,5.0,3.0,117.279208,31.943758
10256,cater,宝运酒店,"117.280769,31.942602",庐阳区,阜阳北路与天水路交口向北100米,酒店;快捷酒店,5.0,6.0,117.280769,31.942602
10257,cater,和顺酒家,"117.278166,31.944476",庐阳区,安徽省合肥市庐阳区荷塘路庐阳工业园云顶雅苑西北,美食;中餐厅,4.8,1.0,117.278166,31.944476
10258,cater,宝运迎宾楼,"117.279215,31.932469",庐阳区,庐阳工业区工投产业园太河路与连水路交叉口,美食;中餐厅,,1.0,117.279215,31.932469
10259,cater,伊洛苑大酒店,"117.276539,31.94424",庐阳区,合肥市庐阳区荷塘路50号,美食;中餐厅,4.0,2.0,117.276539,31.94424
10260,cater,和府大酒店宴会楼,"117.278792,31.945386",庐阳区,合肥市庐阳区,美食;中餐厅,,,117.278792,31.945386
10261,cater,伊洛苑大酒店,"117.276539,31.94424",庐阳区,合肥市庐阳区荷塘路50号,美食;中餐厅,4.0,2.0,117.276539,31.94424
10262,cater,和府大酒店宴会楼,"117.278792,31.945386",庐阳区,合肥市庐阳区,美食;中餐厅,,,117.278792,31.945386
10263,cater,火锅记忆(云顶雅苑店),"117.279133,31.943843",庐阳区,工业区阜阳北路901号,美食;中餐厅,3.9,42.0,117.279133,31.943843
10264,cater,芸江阁川菜,"117.279683,31.942837",庐阳区,阜阳北路与荷塘路交口格林豪泰南20米云顶雅苑,美食;中餐厅,3.0,,117.279683,31.942837
